source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents
GO:BP	GO:0016125	sterol metabolic process	0.003977731184905361	True	"""The chemical reactions and pathways involving sterols, steroids with one or more hydroxyl groups and a hydrocarbon side-chain in the molecule."" [ISBN:0198547684]"	53	433	16	5067	0.03695150115473441	0.3018867924528302	query_1	['GO:1901615', 'GO:0008202']
GO:CC	GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	0.004699337479061761	True	"""The continuous network of membranes encompassing the nuclear outer membrane and the endoplasmic reticulum membrane."" [GOC:bf, GOC:jl, GOC:mah, GOC:mcc, GOC:pr, GOC:vw]"	396	441	55	5501	0.12471655328798185	0.1388888888888889	query_1	['GO:0044464', 'GO:0012505', 'GO:0016020']
GO:BP	GO:0008202	steroid metabolic process	0.005215986442990751	True	"""The chemical reactions and pathways involving steroids, compounds with a 1,2,cyclopentanoperhydrophenanthrene nucleus."" [ISBN:0198547684]"	54	433	16	5067	0.03695150115473441	0.2962962962962963	query_1	['GO:0006629', 'GO:1901360']
TF	TF:M00197_1	Factor: Abf1p; motif: NRTCAYTNNNNACGW; match class: 1	0.00556921362441321	True	Factor: Abf1p; motif: NRTCAYTNNNNACGW; match class: 1	490	461	58	6599	0.12581344902386118	0.11836734693877551	query_1	['TF:M00197_0']
GO:BP	GO:0008204	ergosterol metabolic process	0.01060573898356669	True	"""The chemical reactions and pathways involving ergosterol, (22E)-ergosta-5,7,22-trien-3-beta-ol, a sterol found in ergot, yeast and moulds. It is the most important of the D provitamins and is converted to vitamin D2 on irradiation with UV light."" [ISBN:0198506732]"	34	433	12	5067	0.02771362586605081	0.35294117647058826	query_1	['GO:0044255', 'GO:0044107', 'GO:0016125', 'GO:0016128', 'GO:1902652']
GO:BP	GO:0016128	phytosteroid metabolic process	0.01060573898356669	True	"""The chemical reactions and pathways involving phytosteroids, steroids of higher plants that differ from animal steroids in having substitutions at C24 and/or a double bond at C22. Phytosteroids are so named because they occur in higher plants; some, notably ergosterol, are also found in fungi."" [GOC:mah, ISBN:0198547684]"	34	433	12	5067	0.02771362586605081	0.35294117647058826	query_1	['GO:1901615', 'GO:0008202']
GO:BP	GO:0110053	regulation of actin filament organization	0.01290471577930153	True	"""Any process that modulates the frequency, rate or extent of actin filament organization."" [GOC:kmv]"	40	433	13	5067	0.03002309468822171	0.325	query_1	['GO:0007015', 'GO:0032956', 'GO:1902903']
GO:CC	GO:0043229	intracellular organelle	0.01743041156821327	True	"""Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:go_curators]"	4045	441	357	5501	0.8095238095238095	0.08825710754017305	query_1	['GO:0043226', 'GO:0044424']
GO:CC	GO:0044432	endoplasmic reticulum part	0.019991002576752605	True	"""Any constituent part of the endoplasmic reticulum, the irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae."" [GOC:jl]"	407	441	54	5501	0.12244897959183673	0.13267813267813267	query_1	['GO:0044446', 'GO:0005783', 'GO:0044444']
GO:CC	GO:0043226	organelle	0.021414628040222348	True	"""Organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, and prokaryotic structures such as anammoxosomes and pirellulosomes. Excludes the plasma membrane."" [GOC:go_curators]"	4051	441	357	5501	0.8095238095238095	0.08812638854603802	query_1	['GO:0005575']
GO:BP	GO:0006694	steroid biosynthetic process	0.023339716373301955	True	"""The chemical reactions and pathways resulting in the formation of steroids, compounds with a 1,2,cyclopentanoperhydrophenanthrene nucleus; includes de novo formation and steroid interconversion by modification."" [GOC:go_curators]"	42	433	13	5067	0.03002309468822171	0.30952380952380953	query_1	['GO:1901362', 'GO:0008202', 'GO:0008610']
GO:BP	GO:0044107	cellular alcohol metabolic process	0.028246152466647526	True	"""The chemical reactions and pathways involving alcohols, any of a class of compounds containing one or more hydroxyl groups attached to a saturated carbon atom, as carried out by individual cells."" [GOC:jl]"	37	433	12	5067	0.02771362586605081	0.32432432432432434	query_1	['GO:0006066', 'GO:0044237']
GO:CC	GO:0005739	mitochondrion	0.03707643718069511	True	"""A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."" [GOC:giardia, ISBN:0198506732]"	878	441	98	5501	0.2222222222222222	0.11161731207289294	query_1	['GO:0043231', 'GO:0044444']
GO:CC	GO:0098796	membrane protein complex	0.038675366500023345	True	"""Any protein complex that is part of a membrane."" [GOC:dos]"	329	441	45	5501	0.10204081632653061	0.13677811550151975	query_1	['GO:0044425', 'GO:0032991']
