ORF	Name	Length	Number	Peak	Start	End
YDL124W		312	2	97	95	100
YDL124W		312	2	212	208	213
YDL126C	CDC48	835	5	116	113	120
YDL126C	CDC48	835	5	365	362	366
YDL126C	CDC48	835	5	478	474	482
YDL126C	CDC48	835	5	579	579	583
YDL126C	CDC48	835	5	658	657	661
YDL127W	PCL2	308	1	278	275	280
YDL128W	VCX1	411	1	177	173	179
YDL130W	RPP1B	106	1	84	80	87
YDL131W	LYS21	440	1	408	406	414
YDL134C	PPH21	369	1	349	348	352
YDL140C	RPO21	1733	9	241	239	249
YDL140C	RPO21	1733	9	316	315	319
YDL140C	RPO21	1733	9	1098	1095	1099
YDL140C	RPO21	1733	9	1548	1542	1559
YDL140C	RPO21	1733	9	1571	1567	1575
YDL140C	RPO21	1733	9	1626	1614	1632
YDL140C	RPO21	1733	9	1662	1656	1664
YDL140C	RPO21	1733	9	1676	1674	1678
YDL140C	RPO21	1733	9	1689	1683	1697
YDL141W	BPL1	690	1	498	493	502
YDL143W	CCT4	528	1	391	390	397
YDL145C	COP1	1201	4	109	100	112
YDL145C	COP1	1201	4	176	174	178
YDL145C	COP1	1201	4	916	909	916
YDL145C	COP1	1201	4	960	955	963
YDL160C	DHH1	506	1	132	129	133
YDL164C	CDC9	755	1	111	108	113
YDL171C	GLT1	2145	5	576	572	579
YDL171C	GLT1	2145	5	1040	1039	1043
YDL171C	GLT1	2145	5	1054	1051	1056
YDL171C	GLT1	2145	5	1779	1776	1781
YDL171C	GLT1	2145	5	1878	1875	1879
YDL173W	PAR32	295	1	149	148	153
YDL182W	LYS20	428	1	416	411	420
YDL185W	VMA1	1071	7	83	81	85
YDL185W	VMA1	1071	7	374	371	378
YDL185W	VMA1	1071	7	402	398	402
YDL185W	VMA1	1071	7	636	633	639
YDL185W	VMA1	1071	7	692	688	694
YDL185W	VMA1	1071	7	858	855	859
YDL185W	VMA1	1071	7	869	865	870
YDL189W	RBS1	457	1	321	321	327
YDL191W	RPL35A	120	1	118	115	120
YDL192W	ARF1	181	1	139	136	140
YDL195W	SEC31	1273	4	808	803	814
YDL195W	SEC31	1273	4	855	850	862
YDL195W	SEC31	1273	4	972	964	972
YDL195W	SEC31	1273	4	1099	1094	1102
YDL198C	GGC1	300	2	183	183	187
YDL198C	GGC1	300	2	219	213	225
YDL201W	TRM8	286	1	185	181	188
YDL205C	HEM3	327	1	208	208	212
YDL227C	HO	586	1	571	570	574
YDL236W	PHO13	312	1	212	208	212
YDR012W	RPL4B	362	1	131	128	134
YDR025W	RPS11A	156	2	115	109	115
YDR025W	RPS11A	156	2	143	141	148
YDR028C	REG1	1014	1	879	874	881
YDR032C	PST2	198	1	176	172	179
YDR033W	MRH1	320	2	163	160	164
YDR033W	MRH1	320	2	294	289	297
YDR035W	ARO3	370	1	74	73	79
YDR037W	KRS1	591	3	186	182	186
YDR037W	KRS1	591	3	382	378	385
YDR037W	KRS1	591	3	440	436	445
YDR044W	HEM13	328	1	172	169	173
YDR050C	TPI1	248	1	88	87	92
YDR054C	CDC34	295	2	71	71	77
YDR054C	CDC34	295	2	139	136	140
YDR055W	PST1	444	1	93	88	95
YDR059C	UBC5	148	1	118	117	121
YDR060W	MAK21	1025	1	831	829	833
YDR062W	LCB2	561	1	371	370	376
YDR064W	RPS13	151	2	135	133	138
YDR064W	RPS13	151	2	146	142	151
YDR074W	TPS2	896	1	207	206	212
YDR077W	SED1	338	3	75	71	75
YDR077W	SED1	338	3	88	82	88
YDR077W	SED1	338	3	271	268	272
YDR091C	RLI1	608	2	356	351	357
YDR091C	RLI1	608	2	492	492	500
YDR092W	UBC13	153	1	105	100	108
YDR098C	GRX3	285	1	254	249	254
YDR099W	BMH2	273	2	112	112	116
YDR099W	BMH2	273	2	169	164	171
YDR101C	ARX1	593	1	535	532	536
YDR103W	STE5	917	2	314	311	315
YDR103W	STE5	917	2	526	522	526
YDR117C	TMA64	565	1	117	113	120
YDR120C	TRM1	570	1	146	142	146
YDR127W	ARO1	1588	3	320	315	322
YDR127W	ARO1	1588	3	422	418	425
YDR127W	ARO1	1588	3	857	856	860
YDR129C	SAC6	642	1	331	329	334
YDR143C	SAN1	610	1	425	423	428
YDR144C	MKC7	596	1	91	90	95
YDR145W	TAF12	539	1	301	298	302
YDR146C	SWI5	709	1	448	443	449
YDR148C	KGD2	463	2	260	258	262
YDR148C	KGD2	463	2	345	341	346
YDR155C	CPR1	162	4	95	91	97
YDR155C	CPR1	162	4	102	99	103
YDR155C	CPR1	162	4	114	112	117
YDR155C	CPR1	162	4	148	148	152
YDR158W	HOM2	365	1	283	281	285
YDR162C	NBP2	236	1	119	118	122
YDR165W	TRM82	444	2	99	95	102
YDR165W	TRM82	444	2	433	432	438
YDR169C	STB3	513	1	345	343	348
YDR170C	SEC7	2009	2	331	331	336
YDR170C	SEC7	2009	2	578	577	582
YDR171W	HSP42	375	1	231	221	232
YDR172W	SUP35	685	3	470	464	473
YDR172W	SUP35	685	3	485	481	495
YDR172W	SUP35	685	3	629	629	634
YDR174W	HMO1	246	2	189	185	191
YDR174W	HMO1	246	2	212	210	219
YDR177W	UBC1	215	1	119	118	122
YDR178W	SDH4	181	2	78	77	81
YDR178W	SDH4	181	2	95	90	96
YDR186C	SND1	877	1	405	402	408
YDR188W	CCT6	546	2	375	373	383
YDR188W	CCT6	546	2	426	422	427
YDR189W	SLY1	666	2	131	129	134
YDR189W	SLY1	666	2	247	242	248
YDR190C	RVB1	463	1	334	331	338
YDR195W	REF2	533	1	481	477	482
YDR208W	MSS4	779	1	279	274	280
YDR214W	AHA1	350	2	84	81	86
YDR214W	AHA1	350	2	231	227	232
YDR225W	HTA1	132	1	124	123	127
YDR226W	ADK1	222	2	142	141	145
YDR226W	ADK1	222	2	179	178	182
YDR228C	PCF11	626	1	391	390	395
YDR232W	HEM1	548	2	160	158	163
YDR232W	HEM1	548	2	241	240	244
YDR233C	RTN1	295	1	265	263	269
YDR234W	LYS4	693	1	136	133	139
YDR238C	SEC26	973	1	918	918	922
YDR246W	TRS23	219	1	165	165	169
YDR251W	PAM1	830	1	747	745	749
YDR266C	HEL2	639	2	434	432	437
YDR266C	HEL2	639	2	578	574	580
YDR272W	GLO2	274	1	120	119	123
YDR293C	SSD1	1250	4	236	234	238
YDR293C	SSD1	1250	4	465	462	467
YDR293C	SSD1	1250	4	831	827	831
YDR293C	SSD1	1250	4	854	853	859
YDR296W	MHR1	226	1	155	153	161
YDR300C	PRO1	428	2	195	191	195
YDR300C	PRO1	428	2	428	424	428
YDR304C	CPR5	225	1	61	59	65
YDR309C	GIC2	383	4	295	292	297
YDR309C	GIC2	383	4	336	334	338
YDR309C	GIC2	383	4	362	357	363
YDR309C	GIC2	383	4	377	377	382
YDR321W	ASP1	381	1	282	276	282
YDR328C	SKP1	194	1	82	78	83
YDR330W	UBX5	500	1	284	283	288
YDR341C		607	3	223	219	224
YDR341C		607	3	258	257	261
YDR341C		607	3	532	530	536
YDR345C	HXT3	567	1	285	281	285
YDR353W	TRR1	319	1	277	274	279
YDR354W	TRP4	380	1	121	121	128
YDR359C	EAF1	982	1	206	205	211
YDR381W	YRA1	226	2	80	78	83
YDR381W	YRA1	226	2	163	163	167
YDR382W	RPP2B	110	1	75	70	76
YDR388W	RVS167	482	3	340	336	342
YDR388W	RVS167	482	3	385	383	388
YDR388W	RVS167	482	3	402	399	405
YDR390C	UBA2	636	1	155	154	158
YDR394W	RPT3	428	2	264	260	266
YDR394W	RPT3	428	2	362	359	363
YDR395W	SXM1	944	1	147	140	147
YDR397C	NCB2	146	1	118	115	120
YDR399W	HPT1	221	1	119	117	121
YDR408C	ADE8	214	1	125	124	130
YDR418W	RPL12B	165	2	75	73	79
YDR418W	RPL12B	165	2	139	136	142
YDR422C	SIP1	815	1	690	685	690
YDR429C	TIF35	274	1	237	233	239
YDR430C	CYM1	989	1	149	146	151
YDR432W	NPL3	414	3	129	129	136
YDR432W	NPL3	414	3	199	196	202
YDR432W	NPL3	414	3	278	275	280
YDR450W	RPS18A	146	1	80	78	86
YDR454C	GUK1	187	1	72	72	76
YDR457W	TOM1	3268	3	449	445	451
YDR457W	TOM1	3268	3	1035	1033	1038
YDR457W	TOM1	3268	3	2192	2192	2196
YDR462W	MRPL28	147	1	133	133	138
YDR463W	STP1	519	2	148	145	149
YDR463W	STP1	519	2	405	400	406
YDR471W	RPL27B	136	1	83	80	89
YDR472W	TRS31	283	1	137	133	139
YDR477W	SNF1	633	2	321	317	321
YDR477W	SNF1	633	2	492	490	494
YDR480W	DIG2	323	1	202	198	203
YDR481C	PHO8	566	1	230	227	231
YDR485C	VPS72	795	1	646	645	650
YDR487C	RIB3	208	2	107	102	110
YDR487C	RIB3	208	2	120	119	123
YDR490C	PKH1	766	1	738	737	741
YDR492W	IZH1	316	1	112	108	115
YDR502C	SAM2	384	1	288	281	290
YDR507C	GIN4	1142	2	72	69	73
YDR507C	GIN4	1142	2	427	426	430
YDR508C	GNP1	663	2	93	93	97
YDR508C	GNP1	663	2	424	422	426
YDR510W	SMT3	101	1	78	75	79
YDR513W	GRX2	143	1	81	74	82
YDR516C	EMI2	500	1	228	227	232
YDR517W	GRH1	372	1	66	65	70
YDR527W	RBA50	439	1	323	318	325
YDR539W	FDC1	503	1	117	113	117
YEL007W	MIT1	666	3	171	167	171
YEL007W	MIT1	666	3	253	251	259
YEL007W	MIT1	666	3	482	481	485
YEL022W	GEA2	1459	1	1029	1029	1034
YEL026W	SNU13	126	1	112	101	112
YEL027W	VMA3	160	1	106	103	111
YEL031W	SPF1	1215	2	151	149	154
YEL031W	SPF1	1215	2	358	355	359
YEL032W	MCM3	971	1	270	263	271
YEL037C	RAD23	398	1	94	89	99
YEL040W	UTR2	467	4	242	242	248
YEL040W	UTR2	467	4	303	302	306
YEL040W	UTR2	467	4	368	364	369
YEL040W	UTR2	467	4	416	416	422
YEL042W	GDA1	518	1	241	237	242
YEL046C	GLY1	387	4	142	140	149
YEL046C	GLY1	387	4	221	218	222
YEL046C	GLY1	387	4	288	287	291
YEL046C	GLY1	387	4	371	367	374
YEL052W	AFG1	509	1	358	353	359
YEL054C	RPL12A	165	2	76	72	80
YEL054C	RPL12A	165	2	139	138	142
YEL055C	POL5	1022	1	178	178	182
YEL056W	HAT2	401	1	250	250	255
YEL058W	PCM1	557	2	86	82	88
YEL058W	PCM1	557	2	150	147	152
YEL060C	PRB1	635	1	463	460	465
YEL063C	CAN1	590	1	114	113	117
YEL071W	DLD3	496	1	300	293	302
YER001W	MNN1	762	1	539	539	543
YER003C	PMI40	429	2	98	92	99
YER003C	PMI40	429	2	190	188	194
YER007C-A	TMA20	181	1	113	111	115
YER011W	TIR1	254	2	122	120	133
YER011W	TIR1	254	2	140	136	144
YER019W	ISC1	477	2	179	179	184
YER019W	ISC1	477	2	431	430	435
YER021W	RPN3	523	1	396	391	396
YER023W	PRO3	286	2	194	188	196
YER023W	PRO3	286	2	275	274	280
YER025W	GCD11	527	5	183	179	185
YER025W	GCD11	527	5	212	211	215
YER025W	GCD11	527	5	304	303	308
YER025W	GCD11	527	5	392	392	397
YER025W	GCD11	527	5	418	416	421
YER029C	SMB1	196	1	186	185	189
YER036C	ARB1	610	3	395	390	395
YER036C	ARB1	610	3	524	522	526
YER036C	ARB1	610	3	552	550	557
YER040W	GLN3	730	1	434	432	438
YER043C	SAH1	449	1	89	87	99
YER052C	HOM3	527	2	103	98	105
YER052C	HOM3	527	2	337	335	340
YER055C	HIS1	297	2	192	187	193
YER055C	HIS1	297	2	285	282	287
YER056C	FCY2	533	1	311	308	312
YER056C-A	RPL34A	121	1	67	60	68
YER059W	PCL6	420	1	162	160	164
YER061C	CEM1	442	1	292	288	293
YER062C	GPP2	250	1	148	148	153
YER063W	THO1	218	1	116	114	121
YER064C	VHR2	505	1	131	129	134
YER068W	MOT2	587	1	524	524	528
YER070W	RNR1	888	4	111	109	117
YER070W	RNR1	888	4	297	296	303
YER070W	RNR1	888	4	373	371	375
YER070W	RNR1	888	4	845	844	856
YER072W	VTC1	129	1	83	77	87
YER073W	ALD5	520	3	156	155	160
YER073W	ALD5	520	3	226	222	227
YER073W	ALD5	520	3	449	449	455
YER074W	RPS24A	135	2	70	64	71
YER074W	RPS24A	135	2	123	119	124
YER080W	AIM9	627	1	107	104	108
YER086W	ILV1	576	3	63	58	65
YER086W	ILV1	576	3	155	153	157
YER086W	ILV1	576	3	400	399	405
YER088C	DOT6	670	1	183	180	184
YER089C	PTC2	464	1	463	458	463
YER090W	TRP2	507	3	84	82	86
YER090W	TRP2	507	3	208	205	213
YER090W	TRP2	507	3	279	278	282
YER091C	MET6	767	3	383	379	386
YER091C	MET6	767	3	573	573	577
YER091C	MET6	767	3	631	626	635
YER094C	PUP3	205	2	156	153	157
YER094C	PUP3	205	2	175	174	179
YER100W	UBC6	250	1	97	96	102
YER105C	NUP157	1391	1	487	480	487
YER107C	GLE2	365	1	161	157	164
YER110C	KAP123	1113	3	81	77	85
YER110C	KAP123	1113	3	353	345	354
YER110C	KAP123	1113	3	888	883	889
YER112W	LSM4	187	1	138	135	141
YER114C	BOI2	1040	1	524	521	528
YER118C	SHO1	367	1	56	54	58
YER120W	SCS2	244	2	90	88	94
YER120W	SCS2	244	2	164	161	166
YER124C	DSE1	573	1	155	148	155
YER126C	NSA2	261	1	187	186	190
YER131W	RPS26B	119	1	99	97	102
YER134C		178	1	101	96	104
YER136W	GDI1	451	1	438	436	441
YER141W	COX15	486	1	126	124	131
YER148W	SPT15	240	1	56	52	57
YER151C	UBP3	912	2	340	340	347
YER151C	UBP3	912	2	403	397	405
YER152C		443	1	308	303	308
YER154W	OXA1	402	2	73	69	74
YER154W	OXA1	402	2	144	144	149
YER155C	BEM2	2167	2	498	497	501
YER155C	BEM2	2167	2	918	916	921
YER164W	CHD1	1468	2	444	435	444
YER164W	CHD1	1468	2	1340	1340	1344
YER165W	PAB1	577	1	425	423	434
YER177W	BMH1	267	2	109	105	113
YER177W	BMH1	267	2	170	162	171
YER178W	PDA1	420	5	71	69	73
YER178W	PDA1	420	5	208	205	211
YER178W	PDA1	420	5	254	253	257
YER178W	PDA1	420	5	316	315	322
YER178W	PDA1	420	5	376	375	382
YFL004W	VTC2	828	3	186	183	187
YFL004W	VTC2	828	3	410	410	414
YFL004W	VTC2	828	3	445	442	448
YFL005W	SEC4	215	1	191	190	194
YFL009W	CDC4	779	1	760	755	760
YFL010C	WWM1	211	1	72	67	73
YFL018C	LPD1	499	1	181	175	185
YFL022C	FRS2	503	3	199	196	202
YFL022C	FRS2	503	3	266	264	269
YFL022C	FRS2	503	3	335	329	338
YFL023W	BUD27	796	1	497	497	501
YFL026W	STE2	431	1	384	381	386
YFL037W	TUB2	457	1	171	163	176
YFL038C	YPT1	206	3	71	68	74
YFL038C	YPT1	206	3	155	153	157
YFL038C	YPT1	206	3	205	201	206
YFL039C	ACT1	375	3	321	319	323
YFL039C	ACT1	375	3	335	330	336
YFL039C	ACT1	375	3	340	339	344
YFL045C	SEC53	254	1	95	92	97
YFR009W	GCN20	752	1	534	530	534
YFR021W	ATG18	500	1	421	417	423
YFR024C-A	LSB3	459	1	204	202	206
YFR028C	CDC14	551	1	121	118	127
YFR031C-A	RPL2A	254	1	130	126	131
YFR037C	RSC8	557	1	175	171	175
YFR044C	DUG1	481	3	75	72	76
YFR044C	DUG1	481	3	81	78	85
YFR044C	DUG1	481	3	158	155	159
YFR051C	RET2	546	2	439	436	441
YFR051C	RET2	546	2	533	527	535
YFR052W	RPN12	274	1	199	198	202
YFR053C	HXK1	485	1	162	157	163
YFR055W	IRC7	340	1	220	220	224
