geneID,length,number_of_sites,order,site_start,site_end
YGR019W,20,12,3,482,502
YGR019W,72,12,4,581,653
YGR019W,29,12,5,748,777
YGR019W,24,12,6,822,846
YGR019W,29,12,7,969,998
YGR019W,56,12,8,1048,1104
YGR019W,37,12,9,1109,1146
YGR019W,19,12,10,1150,1169
YGR019W,18,12,11,1275,1293
YGR019W,52,12,12,1280,1332
YEL032W,53,13,1,251,304
YEL032W,33,13,2,291,324
YEL032W,90,13,3,689,779
YEL032W,32,13,4,786,818
YEL032W,33,13,5,806,839
YEL032W,22,13,6,1685,1707
YEL032W,22,13,7,2078,2100
YEL032W,29,13,8,2101,2130
YEL032W,27,13,9,2131,2158
YEL032W,37,13,10,2176,2213
YEL032W,40,13,11,2263,2303
YEL032W,41,13,12,2669,2710
YEL032W,28,13,13,2750,2778
YOL076W,44,10,1,258,302
YOL076W,30,10,2,656,686
YOL076W,35,10,3,688,723
YOL076W,79,10,4,765,844
YOL076W,19,10,5,1030,1049
YOL076W,19,10,6,1054,1073
YOL076W,30,10,7,1318,1348
YOL076W,16,10,8,1825,1841
YOL076W,19,10,9,2288,2307
YOL076W,31,10,10,2294,2325
YER110C,25,6,1,743,768
YER110C,25,6,2,1136,1161
YER110C,20,6,3,1321,1341
YER110C,41,6,4,1477,1518
YER110C,42,6,5,1882,1924
YER110C,19,6,6,2529,2548
YHR123W,28,1,1,228,256
YBL033C,67,5,1,246,313
YBL033C,82,5,2,316,398
YBL033C,18,5,3,486,504
YBL033C,41,5,4,872,913
YBL033C,24,5,5,955,979
YDR022C,22,1,1,181,203
YPL266W,20,4,1,277,297
YPL266W,19,4,2,430,449
YPL266W,60,4,3,638,698
YPL266W,37,4,4,774,811
YHR203C,39,2,1,304,343
YHR203C,25,2,2,536,561
YOR304W,16,5,1,2322,2338
YOR304W,16,5,2,2345,2361
YOR304W,31,5,3,2392,2423
YOR304W,35,5,4,2582,2617
YOR304W,28,5,5,3283,3311
YLR023C,15,3,1,205,220
YLR023C,30,3,2,644,674
YLR023C,24,3,3,845,869
YML112W,16,4,1,280,296
YML112W,28,4,2,368,396
YML112W,31,4,3,479,510
YML112W,29,4,4,537,566
YGL062W,24,15,1,830,854
YGL062W,33,15,2,906,939
YGL062W,51,15,3,968,1019
YGL062W,64,15,4,1641,1705
YGL062W,30,15,5,1714,1744
YGL062W,32,15,6,2387,2419
YGL062W,15,15,7,2539,2554
YGL062W,22,15,8,2657,2679
YGL062W,16,15,9,2680,2696
YGL062W,23,15,10,3037,3060
YGL062W,16,15,11,3112,3128
YGL062W,27,15,12,3136,3163
YGL062W,92,15,13,3164,3256
YGL062W,55,15,14,3332,3387
YGL062W,51,15,15,3449,3500
YER169W,41,7,1,329,370
YER169W,18,7,2,434,452
YER169W,19,7,3,469,488
YER169W,23,7,4,495,518
YER169W,26,7,5,1376,1402
YER169W,26,7,6,1431,1457
YER169W,17,7,7,1865,1882
YOL016C,77,1,1,917,994
YOR226C,35,1,1,436,471
YGL241W,39,1,1,356,395
YNL277W,45,6,1,530,575
YNL277W,34,6,2,1111,1145
YNL277W,35,6,3,1147,1182
YNL277W,16,6,4,1183,1199
YNL277W,44,6,5,1200,1244
YNL277W,26,6,6,1259,1285
YLR108C,15,7,1,343,358
YLR108C,27,7,2,455,482
YLR108C,50,7,3,739,789
YLR108C,18,7,4,797,815
YLR108C,25,7,5,1179,1204
YLR108C,37,7,6,1283,1320
YLR108C,16,7,7,1386,1402
YNL186W,30,7,1,145,175
YNL186W,19,7,2,176,195
YNL186W,15,7,3,1142,1157
YNL186W,35,7,4,1163,1198
YNL186W,30,7,5,1235,1265
YNL186W,35,7,6,1395,1430
YNL186W,27,7,7,2021,2048
YDR077W,44,2,1,771,815
YDR077W,41,2,2,976,1017
YCL044C,76,6,1,228,304
YCL044C,33,6,2,304,337
YCL044C,21,6,3,480,501
YCL044C,21,6,4,702,723
YCL044C,15,6,5,724,739
YCL044C,32,6,6,740,772
YKR008W,27,4,1,446,473
YKR008W,48,4,2,515,563
YKR008W,21,4,3,1637,1658
YKR008W,34,4,4,1774,1808
YMR146C,44,3,1,340,384
YMR146C,25,3,2,387,412
YMR146C,97,3,3,928,1025
YDR226W,31,1,1,472,503
YMR266W,31,1,1,2595,2626
YJL036W,54,1,1,860,914
YER009W,27,2,1,292,319
YER009W,17,2,2,328,345
YDL155W,22,4,1,682,704
YDL155W,29,4,2,739,768
YDL155W,15,4,3,769,784
YDL155W,31,4,4,817,848
YDR246W,26,1,1,489,515
YLR163C,31,6,1,729,760
YLR163C,24,6,2,762,786
YLR163C,18,6,3,912,930
YLR163C,53,6,4,1162,1215
YLR163C,29,6,5,1251,1280
YLR163C,22,6,6,1283,1305
YMR079W,54,5,1,332,386
YMR079W,95,5,2,486,581
YMR079W,35,5,3,568,603
YMR079W,144,5,4,640,784
YMR079W,31,5,5,796,827
YLR115W,32,5,1,251,283
YLR115W,15,5,2,386,401
YLR115W,24,5,3,1364,1388
YLR115W,17,5,4,1425,1442
YLR115W,22,5,5,2091,2113
YHR089C,58,2,1,523,581
YHR089C,16,2,2,597,613
YGL014W,15,14,1,809,824
YGL014W,56,14,2,1137,1193
YGL014W,32,14,3,1634,1666
YGL014W,57,14,4,1775,1832
YGL014W,36,14,5,1862,1898
YGL014W,49,14,6,1994,2043
YGL014W,39,14,7,2059,2098
YGL014W,22,14,8,2112,2134
YGL014W,26,14,9,2145,2171
YGL014W,33,14,10,2220,2253
YGL014W,81,14,11,2388,2469
YGL014W,21,14,12,2474,2495
YGL014W,27,14,13,2496,2523
YGL014W,29,14,14,2518,2547
YOR301W,18,2,1,195,213
YOR301W,27,2,2,337,364
YLL035W,64,2,1,600,664
YLL035W,29,2,2,1683,1712
YNL182C,26,11,1,263,289
YNL182C,29,11,2,609,638
YNL182C,20,11,3,750,770
YNL182C,52,11,4,762,814
YNL182C,22,11,5,815,837
YNL182C,31,11,6,1079,1110
YNL182C,15,11,7,1283,1298
YNL182C,36,11,8,1313,1349
YNL182C,18,11,9,1373,1391
YNL182C,31,11,10,1529,1560
YNL182C,36,11,11,1580,1616
YOR141C,43,13,1,335,378
YOR141C,15,13,2,786,801
YOR141C,33,13,3,1312,1345
YOR141C,34,13,4,1346,1380
YOR141C,99,13,5,1432,1531
YOR141C,43,13,6,1624,1667
YOR141C,62,13,7,1851,1913
YOR141C,15,13,8,1914,1929
YOR141C,29,13,9,2120,2149
YOR141C,21,13,10,2187,2208
YOR141C,30,13,11,2337,2367
YOR141C,27,13,12,2432,2459
YOR141C,18,13,13,2494,2512
YPR056W,18,2,1,644,662
YPR056W,52,2,2,953,1005
YER107C,25,9,1,315,340
YER107C,31,9,2,332,363
YER107C,62,9,3,366,428
YER107C,39,9,4,429,468
YER107C,21,9,5,469,490
YER107C,30,9,6,686,716
YER107C,40,9,7,825,865
YER107C,16,9,8,896,912
YER107C,18,9,9,1066,1084
YPL237W,17,1,1,646,663
YDL195W,35,14,1,555,590
YDL195W,87,14,2,757,844
YDL195W,37,14,3,834,871
YDL195W,40,14,4,1021,1061
YDL195W,24,14,5,1085,1109
YDL195W,42,14,6,1343,1385
YDL195W,27,14,7,1395,1422
YDL195W,32,14,8,1442,1474
YDL195W,43,14,9,1822,1865
YDL195W,56,14,10,2533,2589
YDL195W,18,14,11,2917,2935
YDL195W,22,14,12,2937,2959
YDL195W,19,14,13,2963,2982
YDL195W,38,14,14,3768,3806
YBR038W,75,22,1,200,275
YBR038W,43,22,2,358,401
YBR038W,54,22,3,407,461
YBR038W,27,22,4,527,554
YBR038W,26,22,5,558,584
YBR038W,40,22,6,781,821
YBR038W,21,22,7,827,848
YBR038W,15,22,8,1006,1021
YBR038W,21,22,9,1124,1145
YBR038W,42,22,10,1332,1374
YBR038W,17,22,11,1375,1392
YBR038W,30,22,12,1519,1549
YBR038W,22,22,13,1636,1658
YBR038W,55,22,14,1659,1714
YBR038W,44,22,15,1745,1789
YBR038W,41,22,16,1790,1831
YBR038W,16,22,17,1888,1904
YBR038W,32,22,18,2000,2032
YBR038W,21,22,19,2034,2055
YBR038W,20,22,20,2395,2415
YBR038W,33,22,21,2465,2498
YBR038W,16,22,22,2499,2515
YLR219W,16,7,1,651,667
YLR219W,18,7,2,669,687
YLR219W,29,7,3,956,985
YLR219W,26,7,4,1092,1118
YLR219W,46,7,5,1331,1377
YLR219W,17,7,6,1432,1449
YLR219W,18,7,7,1633,1651
YDR117C,31,6,1,303,334
YDR117C,33,6,2,632,665
YDR117C,34,6,3,652,686
YDR117C,40,6,4,1204,1244
YDR117C,46,6,5,1263,1309
YDR117C,27,6,6,1314,1341
YGR282C,19,1,1,306,325
YMR246W,39,9,1,220,259
YMR246W,22,9,2,346,368
YMR246W,16,9,3,424,440
YMR246W,16,9,4,667,683
YMR246W,43,9,5,685,728
YMR246W,30,9,6,731,761
YMR246W,18,9,7,1152,1170
YMR246W,65,9,8,1730,1795
YMR246W,175,9,9,1822,1997
YPL202C,75,4,1,300,375
YPL202C,39,4,2,377,416
YPL202C,57,4,3,417,474
YPL202C,33,4,4,492,525
YEL047C,21,1,1,1055,1076
YLR285W,92,3,1,268,360
YLR285W,21,3,2,365,386
YLR285W,24,3,3,745,769
YPR036W,27,4,1,467,494
YPR036W,19,4,2,604,623
YPR036W,48,4,3,672,720
YPR036W,47,4,4,1028,1075
YPR016C,17,4,1,354,371
YPR016C,44,4,2,375,419
YPR016C,52,4,3,449,501
YPR016C,34,4,4,618,652
YNL317W,20,9,1,437,457
YNL317W,32,9,2,589,621
YNL317W,51,9,3,847,898
YNL317W,22,9,4,903,925
YNL317W,20,9,5,954,974
YNL317W,23,9,6,1178,1201
YNL317W,36,9,7,1244,1280
YNL317W,30,9,8,1343,1373
YNL317W,18,9,9,1379,1397
YGR235C,28,2,1,351,379
YGR235C,26,2,2,540,566
YDL055C,30,5,1,188,218
YDL055C,18,5,2,273,291
YDL055C,57,5,3,399,456
YDL055C,16,5,4,1007,1023
YDL055C,34,5,5,1052,1086
YML072C,27,7,1,513,540
YML072C,26,7,2,567,593
YML072C,57,7,3,2229,2286
YML072C,27,7,4,3320,3347
YML072C,23,7,5,4188,4211
YML072C,16,7,6,4458,4474
YML072C,33,7,7,4461,4494
YHR052W,41,3,1,438,479
YHR052W,55,3,2,484,539
YHR052W,22,3,3,938,960
YKR026C,29,4,1,207,236
YKR026C,22,4,2,237,259
YKR026C,42,4,3,319,361
YKR026C,42,4,4,563,605
YFL044C,21,1,1,594,615
YJR043C,25,1,1,556,581
YJR012C,18,1,1,520,538
YJL130C,77,33,1,734,811
YJL130C,108,33,2,851,959
YJL130C,24,33,3,1146,1170
YJL130C,68,33,4,1324,1392
YJL130C,25,33,5,1517,1542
YJL130C,23,33,6,2257,2280
YJL130C,17,33,7,2303,2320
YJL130C,20,33,8,2322,2342
YJL130C,23,33,9,2353,2376
YJL130C,16,33,10,2412,2428
YJL130C,53,33,11,2458,2511
YJL130C,19,33,12,2513,2532
YJL130C,67,33,13,2595,2662
YJL130C,39,33,14,2738,2777
YJL130C,15,33,15,2801,2816
YJL130C,112,33,16,2914,3026
YJL130C,67,33,17,3123,3190
YJL130C,77,33,18,3528,3605
YJL130C,32,33,19,3641,3673
YJL130C,17,33,20,3978,3995
YJL130C,20,33,21,4433,4453
YJL130C,61,33,22,4552,4613
YJL130C,18,33,23,4731,4749
YJL130C,62,33,24,4765,4827
YJL130C,38,33,25,4950,4988
YJL130C,70,33,26,5115,5185
YJL130C,21,33,27,5193,5214
YJL130C,38,33,28,5603,5641
YJL130C,23,33,29,5900,5923
YJL130C,38,33,30,5934,5972
YJL130C,31,33,31,6080,6111
YJL130C,61,33,32,6362,6423
YJL130C,80,33,33,6528,6608
YNL173C,18,5,1,268,286
YNL173C,134,5,2,699,833
YNL173C,29,5,3,836,865
YNL173C,96,5,4,887,983
YNL173C,109,5,5,992,1101
YKL173W,35,5,1,716,751
YKL173W,34,5,2,1212,1246
YKL173W,28,5,3,1861,1889
YKL173W,16,5,4,1900,1916
YKL173W,92,5,5,2879,2971
YGR200C,17,15,1,224,241
YGR200C,153,15,2,297,450
YGR200C,36,15,3,468,504
YGR200C,16,15,4,747,763
YGR200C,87,15,5,780,867
YGR200C,20,15,6,869,889
YGR200C,52,15,7,890,942
YGR200C,34,15,8,1301,1335
YGR200C,31,15,9,1353,1384
YGR200C,34,15,10,1878,1912
YGR200C,51,15,11,1996,2047
YGR200C,48,15,12,2051,2099
YGR200C,87,15,13,2139,2226
YGR200C,71,15,14,2241,2312
YGR200C,17,15,15,2313,2330
YBR056W,28,8,1,241,269
YBR056W,33,8,2,271,304
YBR056W,22,8,3,481,503
YBR056W,32,8,4,516,548
YBR056W,44,8,5,590,634
YBR056W,20,8,6,743,763
YBR056W,32,8,7,959,991
YBR056W,33,8,8,1293,1326
YKL035W,30,9,1,369,399
YKL035W,58,9,2,433,491
YKL035W,22,9,3,524,546
YKL035W,21,9,4,557,578
YKL035W,87,9,5,653,740
YKL035W,70,9,6,746,816
YKL035W,55,9,7,962,1017
YKL035W,42,9,8,1044,1086
YKL035W,33,9,9,1264,1297
YIL127C,36,2,1,294,330
YIL127C,31,2,2,364,395
YDR348C,15,2,1,1298,1313
YDR348C,25,2,2,1446,1471
YKL182W,29,26,1,1396,1425
YKL182W,25,26,2,1427,1452
YKL182W,47,26,3,1590,1637
YKL182W,26,26,4,2129,2155
YKL182W,40,26,5,2398,2438
YKL182W,19,26,6,2738,2757
YKL182W,41,26,7,2758,2799
YKL182W,16,26,8,2845,2861
YKL182W,47,26,9,2941,2988
YKL182W,50,26,10,3172,3222
YKL182W,29,26,11,3618,3647
YKL182W,33,26,12,3742,3775
YKL182W,29,26,13,3925,3954
YKL182W,39,26,14,3945,3984
YKL182W,32,26,15,4017,4049
YKL182W,43,26,16,4458,4501
YKL182W,44,26,17,4531,4575
YKL182W,15,26,18,4668,4683
YKL182W,20,26,19,4905,4925
YKL182W,25,26,20,4936,4961
YKL182W,23,26,21,5113,5136
YKL182W,21,26,22,5357,5378
YKL182W,38,26,23,5611,5649
YKL182W,48,26,24,5751,5799
YKL182W,22,26,25,5866,5888
YKL182W,167,26,26,5972,6139
YDR469W,19,1,1,376,395
YDR333C,19,6,1,703,722
YDR333C,32,6,2,709,741
YDR333C,27,6,3,1386,1413
YDR333C,40,6,4,1539,1579
YDR333C,33,6,5,1815,1848
YDR333C,15,6,6,2055,2070
YNL160W,25,1,1,218,243
YLR223C,47,2,1,753,800
YLR223C,21,2,2,2502,2523
YIR012W,23,2,1,395,418
YIR012W,46,2,2,1142,1188
YLR363C,15,4,1,252,267
YLR363C,22,4,2,319,341
YLR363C,26,4,3,384,410
YLR363C,37,4,4,398,435
YGR049W,16,3,1,235,251
YGR049W,23,3,2,263,286
YGR049W,18,3,3,441,459
YNR026C,23,4,1,686,709
YNR026C,20,4,2,745,765
YNR026C,47,4,3,755,802
YNR026C,42,4,4,994,1036
YNR046W,19,2,1,170,189
YNR046W,39,2,2,224,263
YJL014W,43,9,1,250,293
YJL014W,31,9,2,308,339
YJL014W,77,9,3,431,508
YJL014W,47,9,4,710,757
YJL014W,82,9,5,968,1050
YJL014W,29,9,6,1052,1081
YJL014W,21,9,7,1082,1103
YJL014W,22,9,8,1287,1309
YJL014W,196,9,9,1409,1605
YKR046C,18,1,1,529,547
YJR005W,17,3,1,394,411
YJR005W,38,3,2,826,864
YJR005W,60,3,3,1590,1650
YMR031C,15,9,1,841,856
YMR031C,30,9,2,1251,1281
