domainID	geneID	domainNb	pdb_id	score	method
170	534883	5	na	1.180993	msa
171	534883	6	na	1.143975	msa
172	534883	7	na	0	artificial
173	534883	8	na	3.462992	msa
174	534886	1	1dkrA_	91	pdbblast
175	534891	1	na	0	artificial
176	534891	2	PF02148.6	30.387216	pfam
177	534891	3	1nbfA_	36.522879	pdbblast
178	534891	4	na	19.251996	msa
179	534893	1	na	1.449995	msa
180	534893	2	na	0	artificial
181	534893	3	PF00176.10	4.721246	pfam
182	534893	4	1oyyA_	34.522879	pdbblast
183	534897	1	na	0	artificial
184	534904	1	1ls3A_	82.69897	pdbblast
185	534905	1	1oivA_	43.69897	pdbblast
186	534910	1	na	8.141997	msa
187	534910	2	na	0	artificial
188	534910	3	1s7aA_	20.69897	pdbblast
189	534914	1	na	0	artificial
190	534919	1	na	0	artificial
191	534919	2	1kphA_	17.69897	pdbblast
192	534923	1	na	0	artificial
193	534923	2	na	0	artificial
194	534923	3	na	6.423993	msa
195	534923	4	na	20.40399	msa
196	534925	1	na	0	artificial
197	534927	1	1ezrA_	81.154902	pdbblast
198	534934	1	1gojA_	57.39794	pdbblast
199	534934	2	1i84S_	10.69897	pdbblast
200	534942	1	na	0	artificial
201	534942	2	na	0	artificial
202	534942	3	na	0	artificial
203	534942	4	na	0	artificial
204	534942	5	na	0	artificial
205	534942	6	na	0	artificial
206	534942	7	na	0	artificial
207	534942	8	na	0	artificial
208	534942	9	na	0	artificial
209	534942	10	na	0	artificial
210	534942	11	na	0	artificial
211	534942	12	na	0	artificial
212	534942	13	na	0	artificial
213	534942	14	na	0	artificial
214	534942	15	na	3.023948	msa
215	534945	1	na	0	artificial
216	534945	2	na	2.03997	msa
217	534945	3	na	0	artificial
218	534945	4	na	0	artificial
219	534945	5	na	0	artificial
220	534945	6	na	1.015972	msa
221	534953	1	1pn9A_	8.30103	pdbblast
222	534953	2	1o0bA_	150	pdbblast
223	534952	1	1gqpA_	72.69897	pdbblast
224	534948	1	na	0	artificial
225	534948	2	na	3.18799	msa
226	534948	3	na	1.184989	msa
227	534956	1	na	2.015977	msa
228	534956	2	na	1.014991	msa
229	534957	1	1r6mA_	51.522879	pdbblast
230	534958	1	na	0	artificial
231	534972	1	1hpm__	176	pdbblast
232	534972	2	1ckrA_	41.69897	pdbblast
233	534973	1	1fuuB_	56.154902	pdbblast
234	534984	1	1ihoA_	101	pdbblast
235	534992	1	na	0	artificial
236	534999	1	1d3bB_	16	pdbblast
237	535008	1	na	1.003995	msa
238	535008	2	na	0	artificial
239	535048	1	1bq0__	26.221849	pdbblast
240	535048	2	1nltA_	47.39794	pdbblast
241	535050	1	PF01775.6	132.677781	pfam
242	535067	1	na	1.103966	msa
243	535067	2	na	1.122987	msa
244	535067	3	1phzA_	10.154902	pdbblast
245	535066	1	na	0	artificial
246	535066	2	na	0	artificial
247	535076	1	PF06425.1	9.337242	pfam
248	535073	1	1r00A_	16	pdbblast
249	535102	1	1fchA_	11	pdbblast
250	535102	2	na	2.962996	msa
251	535102	3	na	2.563981	msa
252	535099	1	1f7tA_	24.30103	pdbblast
253	535104	1	1b70B_	49	pdbblast
254	535112	1	na	0	artificial
255	535112	2	na	1.048988	msa
256	535112	3	na	0	artificial
257	535112	4	na	3.045983	msa
258	746553	1	1fmtA_	75	pdbblast
259	746549	1	na	0	artificial
260	746549	2	na	0	artificial
261	746549	3	na	1.005949	msa
262	746549	4	na	0	artificial
263	746549	5	na	0	artificial
264	746295	1	na	0	artificial
265	746568	1	1dceA_	18.09691	pdbblast
266	746568	2	1kt1A_	6.69897	pdbblast
267	746547	1	na	1.018988	msa
268	746547	2	na	0	artificial
269	746572	1	1hr6B_	85	pdbblast
270	746572	2	1ezvB_	15	pdbblast
271	746572	3	na	1.339987	msa
272	746571	1	na	9.01398	msa
273	746571	2	na	0	artificial
274	746571	3	na	0	artificial
275	746571	4	na	1.002953	msa
276	746570	1	1n3uA_	60.522879	pdbblast
277	746583	1	na	1.010968	msa
278	746583	2	na	0	artificial
279	746583	3	na	2.010985	msa
280	746581	1	na	6.126997	msa
281	746581	2	na	13.119983	msa
282	746596	1	na	3.138993	msa
283	746596	2	PF01066.9	26.721246	pfam
284	746596	3	na	2.111987	msa
285	5136610	1	na	3.009982	msa
286	5136610	2	na	0	artificial
287	5136610	3	na	0	artificial
288	5136610	4	na	0	artificial
289	5136610	5	na	0	artificial
290	5136610	6	na	0	artificial
291	746599	1	1ea6A_	68.39794	pdbblast
292	746599	2	na	4.434992	msa
293	746599	3	na	1.139986	msa
294	746599	4	na	0	artificial
295	746599	5	na	3.062993	msa
296	535499	1	1pyiA_	6.09691	pdbblast
297	535499	2	na	0	artificial
298	535499	3	na	0	artificial
299	535499	4	na	0	artificial
300	535499	5	na	0	artificial
301	529834	1	na	1.108992	msa
302	529834	2	1okcA_	59.522879	pdbblast
303	528791	1	1oz4A_	78.09691	pdbblast
304	533166	1	1cjyA_	93.522879	pdbblast
305	534828	1	1gw5B_	22.69897	pdbblast
306	534828	2	1b3uA_	23.154902	pdbblast
307	534828	3	na	0	artificial
308	534828	4	na	0	artificial
309	534818	1	na	1.057953	msa
310	534818	2	na	1.069973	msa
311	534818	3	na	0	artificial
312	534818	4	na	0	artificial
313	534818	5	na	4.287997	msa
314	534865	1	na	0	artificial
315	534865	2	na	6.127987	msa
316	534833	1	na	0	artificial
317	746580	1	PF03105.7	49.207608	pfam
318	746580	2	na	0	artificial
319	746580	3	na	0	artificial
320	746580	4	na	21.056997	msa
321	746543	1	na	0	artificial
322	534875	1	na	0	artificial
323	534875	2	na	0	artificial
324	534875	3	na	0	artificial
325	534895	1	na	0	artificial
326	534895	2	na	1.008974	msa
327	534895	3	na	0	artificial
328	534898	1	na	71.290997	msa
329	534898	2	1i84S_	15.522879	pdbblast
330	534898	3	1c1gA_	3.39794	pdbblast
331	534930	1	1i84S_	25.69897	pdbblast
332	534930	2	na	0	artificial
333	534930	3	na	3.177995	msa
334	534931	1	PF03357.7	61.05061	pfam
335	534936	1	na	0	artificial
336	534936	2	na	0	artificial
337	534936	3	na	0	artificial
338	534936	4	na	0	artificial
339	534936	5	na	0	artificial
340	534938	1	na	0	artificial
341	534991	1	na	1.024971	msa
342	534991	2	na	0	artificial
343	534991	3	PF06423.1	77.045757	pfam
344	535005	1	na	1.173993	msa
345	535005	2	na	3.173995	msa
346	535036	1	na	2.021974	msa
347	535084	1	1ndh__	51	pdbblast
348	535087	1	PF03232.3	57.113509	pfam
349	535087	2	PF03232.3	41.853872	pfam
350	535103	1	na	0	artificial
351	535103	2	1pf4A_	112	pdbblast
352	535103	3	1q12A_	50.69897	pdbblast
353	535107	1	na	202.392997	msa
354	535107	2	na	9.274996	msa
355	746559	1	na	0	artificial
356	746559	2	na	1.248995	msa
357	746559	3	PF07529.1	28.853872	pfam
358	746559	4	na	0	artificial
359	746559	5	na	1.009975	msa
360	746559	6	na	0	artificial
361	746548	1	1nr0A_	40.69897	pdbblast
362	746548	2	na	0	artificial
363	746548	3	na	0	artificial
364	746548	4	1b89A_	13.30103	pdbblast
365	746548	5	na	0	artificial
366	746548	6	na	3.657997	msa
367	746550	1	na	2.097997	msa
368	746550	2	na	0	artificial
369	746550	3	1g83A_	33	pdbblast
370	746550	4	na	0	artificial
371	746550	5	na	0	artificial
372	746550	6	na	0	artificial
373	746554	1	na	0	artificial
374	746554	2	na	0	artificial
375	746554	3	na	0	artificial
376	746554	4	na	0	artificial
377	746554	5	na	0	artificial
378	746590	1	na	17.051997	msa
379	746590	2	na	4.045996	msa
380	530977	1	1hr6A_	10118	pdbblast
381	530977	2	1hr6A_	10118	pdbblast
382	532198	1	na	0	artificial
383	532198	3	1e53A_	95.325697	pdbblast
384	532198	2	1a8x__	19.69897	pdbblast
385	529128	1	na	0	artificial
386	528985	1	na	0	artificial
387	528984	1	1cts__	1760	pdbblast
388	528984	2	1cts__	1760	pdbblast
389	528983	1	1ag9A_	27.522879	pdbblast
390	528982	1	na	0	artificial
391	528982	2	1jzxM_	2.30103	pdbblast
392	528495	1	na	1.005944	msa
393	528495	2	na	0	artificial
394	528495	3	na	1.007897	msa
395	528495	4	na	0	artificial
396	528495	5	na	7.020001	msa
397	528495	6	na	0	artificial
398	528494	1	1erk__	1087.9794	pdbblast
399	528494	2	1erk__	1087.9794	pdbblast
400	528493	1	1k6dA_	34.045757	pdbblast
401	528493	2	1poiB_	5	pdbblast
402	528986	1	PF00674	51.744727	pfam
403	528940	1	na	0	artificial
404	528940	2	PF00788	27.744727	pfam
405	530240	1	2btfA_	11000	pdbblast
406	530240	2	2btfA_	11000	pdbblast
407	529113	1	2btfA_	2020	pdbblast
408	529113	2	2btfA_	2020	pdbblast
409	530361	1	na	0	artificial
410	529577	1	1aky__	1272.69897	pdbblast
411	532143	2	1asyA_	10138	pdbblast
412	532143	1	1asyA_	10138	pdbblast
413	529519	1	PF03770	132.585027	pfam
414	529377	1	1gg1A_	1145	pdbblast
415	530476	2	1k5yH_	916.373389	pdbblast
416	530476	1	1k5yH_	916.373389	pdbblast
417	529653	1	1abv__	25.522879	pdbblast
418	529939	1	PF00137	20.318759	pfam
419	529939	2	PF00137	20.769551	pfam
420	534419	1	1e79I_	10.045757	pdbblast
421	532272	1	1i84S_	5	pdbblast
422	531797	1	PF01267	172	pfam
423	531213	1	PF01115	225.267606	pfam
424	529154	1	na	0	artificial
425	529152	1	na	0	artificial
426	529544	2	1ks9A_	57.522879	pdbblast
427	529544	1	1ks9A_	57.522879	pdbblast
428	532086	2	2cyp__	1812.69897	pdbblast
429	532086	1	2cyp__	1812.69897	pdbblast
430	529255	1	na	0	artificial
431	529212	1	1av5A_	124	pdbblast
432	532030	1	na	1.002935	msa
433	532030	2	na	0	artificial
434	532029	6	na	11.039997	msa
435	532029	3	1edoA_	417.228787	pdbblast
436	532029	2	na	0	artificial
437	532029	4	na	1.026982	msa
438	532029	1	1cwuA_	17.221849	pdbblast
439	532029	5	na	0	artificial
440	532028	3	na	1.04999	msa
441	532028	2	1e6iA_	126.512579	pdbblast
442	532028	4	na	0	artificial
443	532028	1	PF00439	18.721246	pfam
444	532027	1	na	0	artificial
445	532026	1	na	0	artificial
446	532025	2	na	0	artificial
447	532025	1	1l2qA	7.38	orfeus
448	532024	1	na	0	artificial
449	532023	1	PF01237	240.853872	pfam
450	532021	3	PF02212	40.173925	pfam
451	532021	2	PF01031	42.69897	pfam
452	532021	1	1jwyB_	1185	pdbblast
453	531789	1	1d6jA_	754	pdbblast
454	534154	3	1hv8A_	3.522879	pdbblast
455	534154	2	na	0	artificial
456	534154	4	na	0	artificial
457	534154	1	na	2.07099	msa
458	534154	5	na	13.187997	msa
459	530768	1	PF01086	145.657577	pfam
460	532633	1	1auiA_	2490	pdbblast
461	532176	1	1cfyA_	787.154902	pdbblast
462	533204	2	1occD_	44.522879	pdbblast
463	533204	1	1occD_	44.522879	pdbblast
464	534624	2	1ezvB_	10060	pdbblast
465	534624	1	1ezvB_	10060	pdbblast
466	530516	1	1occF_	120.156545	pdbblast
467	530517	1	na	0	artificial
468	533078	1	na	0	artificial
469	534049	1	na	0	artificial
470	534050	2	1bxrB_	781	pdbblast
471	534050	1	1bxrB_	781	pdbblast
472	532749	1	1ak4A_	616.218487	pdbblast
473	529607	2	1a4eA_	11000	pdbblast
474	529607	1	1a4eA_	11000	pdbblast
475	533810	1	1kyoD_	1578	pdbblast
476	528408	1	PF01265	171.522879	pfam
477	529500	1	1ak4A_	633.9691	pdbblast
478	530432	2	1k5yV_	738.69897	pdbblast
479	530432	1	1k5yV_	738.69897	pdbblast
480	531674	1	2pccB_	589.980454	pdbblast
481	529951	1	1yea__	593.67837	pdbblast
482	531880	1	PF01265	148.236572	pfam
483	532723	3	1fcbA_	10156	pdbblast
484	532723	2	1fcbA_	10156	pdbblast
485	532723	1	na	0	artificial
486	531384	1	na	0	artificial
487	531384	2	PF02133	249.657577	pfam
488	531384	3	na	0	artificial
489	532788	1	na	0	artificial
490	533951	3	1hv8A_	672.218487	pdbblast
491	533951	2	1hv8A_	672.218487	pdbblast
492	533951	4	na	0	artificial
493	533951	1	1deqA	7.22	orfeus
494	530529	1	PF01105	81.387216	pfam
495	533030	2	1kvkA_	415.30103	pdbblast
496	533030	1	1kvkA_	415.30103	pdbblast
497	529052	1	na	0	artificial
498	529052	2	na	1.009964	msa
499	531853	1	1dosA_	1114	pdbblast
500	532575	2	1bk4A_	977.228787	pdbblast
501	532575	1	1bk4A_	977.228787	pdbblast
502	531338	1	1afwA_	10122	pdbblast
503	530585	1	na	4.120992	msa
504	530585	2	PF02535	54.744727	pfam
505	530853	3	1yghA_	993.045757	pdbblast
506	530853	2	1yghA_	993.045757	pdbblast
507	530853	4	na	0	artificial
508	530853	1	na	0	artificial
509	530853	5	1e6iA_	655.66807	pdbblast
510	533865	1	2alr__	686.758605	pdbblast
511	533133	1	PF03198	236.327902	pfam
512	533133	2	na	44.092985	msa
513	528730	3	1f6dA	13.21	orfeus
514	528730	2	1f6dA	13.21	orfeus
515	528730	1	na	1.41699	msa
516	531947	1	1bq3D_	1387.09691	pdbblast
517	529576	2	1id3C_	579.383689	pdbblast
518	529576	1	1id3C_	579.383689	pdbblast
519	528479	2	1id3C_	568.529817	pdbblast
520	528479	1	1id3C_	568.529817	pdbblast
521	528608	1	1id3A_	542.626727	pdbblast
522	528607	1	1id3B_	357.68867	pdbblast
523	534434	1	na	0	artificial
524	529389	1	1uroA_	1148	pdbblast
525	530053	1	PF01634	84.346787	pfam
526	530053	2	na	0	artificial
527	529575	1	1id3D_	426.124002	pdbblast
528	528478	1	1id3D_	447.9794	pdbblast
529	529503	2	1gpdG_	97.154902	pdbblast
530	529503	1	1gpdG_	97.154902	pdbblast
531	531766	2	1ebfA_	10080.69897	pdbblast
532	531766	1	1ebfA_	10080.69897	pdbblast
533	530213	1	na	0	artificial
534	531673	2	1fh4A_	582.10721	pdbblast
535	531673	1	1fh4A_	582.10721	pdbblast
536	529946	2	1fh4A_	590.156545	pdbblast
537	529946	1	1fh4A_	590.156545	pdbblast
538	530065	2	1dquA_	11000	pdbblast
539	530065	1	1dquA_	11000	pdbblast
540	528557	6	na	2.207964	msa
541	528557	3	1ile__	2680	pdbblast
542	528557	2	1ile__	2680	pdbblast
543	528557	4	1ile__	2680	pdbblast
544	528557	1	1ile__	2680	pdbblast
545	528557	5	1ile__	2680	pdbblast
546	532921	3	1jscA_	11000	pdbblast
547	532921	2	1jscA_	11000	pdbblast
548	532921	1	1jscA_	11000	pdbblast
549	529468	1	na	0	artificial
550	529468	2	PF00010	2.522879	pfam
551	533025	1	na	5.072992	msa
552	533025	2	na	0	artificial
553	533025	3	na	8.075988	msa
554	530502	1	PF03159	171.387216	pfam
555	530502	2	na	0	artificial
556	530502	3	na	1.021889	msa
557	530502	4	na	0	artificial
558	529194	2	1lg3A_	897.9794	pdbblast
559	529194	1	1lg3A_	897.9794	pdbblast
560	528543	3	1epwA	7.73	orfeus
561	528543	2	na	0	artificial
562	528543	4	1i84S_	13.69897	pdbblast
563	528543	1	1ii6A_	971.9897	pdbblast
564	534301	3	1i84S_	11.69897	pdbblast
565	534301	2	1gojA_	562.228787	pdbblast
566	534301	1	na	0	artificial
567	533478	1	1ei3A	12.29	orfeus
568	533844	1	PF01793	235.022276	pfam
569	532171	2	1k5yG_	529.383689	pdbblast
570	532171	1	na	5.059996	msa
571	530933	2	1k5yG_	536.70927	pdbblast
572	530933	1	na	5.060996	msa
573	532652	3	na	0	artificial
574	532652	2	na	4.14298	msa
575	532652	1	1hwtD_	10.522879	pdbblast
576	532355	2	1hr6B_	10127	pdbblast
577	532355	1	1hr6B_	10127	pdbblast
578	529072	1	1mnmC_	387.54902	pdbblast
579	528972	1	na	0	artificial
580	529024	6	na	2.127996	msa
581	529024	3	1hs6A_	80	pdbblast
582	529024	7	na	0	artificial
583	529024	2	1hs6A_	80	pdbblast
584	529024	4	1hs6A_	80	pdbblast
585	529024	1	1h19A	11.15	orfeus
586	529024	5	1hs6A_	80	pdbblast
587	529025	1	na	0	artificial
588	533463	2	1i09A_	811.9897	pdbblast
589	533463	1	1i09A_	811.9897	pdbblast
590	529944	6	na	0	artificial
591	529944	3	1g8pA_	40.69897	pdbblast
592	529944	2	PF00493	9.086186	pfam
593	529944	4	1g8pA_	40.69897	pdbblast
594	529944	1	na	1.098987	msa
595	529944	5	1g8pA	7.44	orfeus
596	533395	2	1qkiA_	2270	pdbblast
597	533395	1	1qkiA_	2270	pdbblast
598	528819	2	1kyqA_	1608.221849	pdbblast
599	528819	1	1kyqA_	1608.221849	pdbblast
600	531634	3	1crwG_	1433	pdbblast
601	531634	2	1crwG_	1433	pdbblast
602	531634	1	1crwG_	1433	pdbblast
603	534334	1	na	0	artificial
604	532734	1	PF01015	145.431798	pfam
605	531771	1	na	0	artificial
606	531771	2	na	1.003908	msa
607	530364	3	na	31.033996	msa
608	530364	2	1lu6A_	134.70927	pdbblast
609	530364	4	na	1.778997	msa
610	530364	1	1lu6A_	134.70927	pdbblast
611	530364	5	na	0	artificial
612	531201	1	na	0	artificial
613	531201	2	na	11.020976	msa
614	534102	3	1a06__	475.228787	pdbblast
615	534102	2	1a06__	475.228787	pdbblast
616	534102	1	1gxcA_	20.39794	pdbblast
617	530472	3	1gqeA_	502	pdbblast
618	530472	2	1gqeA_	502	pdbblast
619	530472	1	1gqeA_	502	pdbblast
620	531791	1	1fjgF_	14.39794	pdbblast
621	531933	1	na	0	artificial
622	529696	2	1eg0F_	134.156545	pdbblast
623	529696	1	na	0	artificial
624	531535	1	1is2A	7.42	orfeus
625	532073	1	1is2A	7.04	orfeus
626	534563	1	na	0	artificial
627	529623	2	1lkwA_	691.927757	pdbblast
628	529623	1	1lkwA_	691.927757	pdbblast
629	531107	2	1k5xD_	109	pdbblast
630	531107	1	1k5xD_	109	pdbblast
631	532892	3	1pjr__	89	pdbblast
632	532892	2	na	1.198991	msa
633	532892	4	1pjr__	89	pdbblast
634	532892	1	na	0	artificial
635	534481	1	1cg7A_	337.751666	pdbblast
636	529796	3	1b7fA_	84.512579	pdbblast
637	529796	2	1b7fA_	84.512579	pdbblast
638	529796	4	1deqA	13.2	orfeus
639	529796	1	1ldvA	9.87	orfeus
640	532858	1	na	12.136996	msa
641	532858	2	na	0	artificial
642	532858	3	na	7.152997	msa
643	532858	4	na	0	artificial
644	530501	3	1dn1B	8.31	orfeus
645	530501	2	1dn1B	8.31	orfeus
646	530501	1	1deqA_	5	pdbblast
647	530759	3	1cvjA_	189.156545	pdbblast
648	530759	2	1cvjA_	189.156545	pdbblast
649	530759	1	1ldvA	8.46	orfeus
650	531611	1	1qaeA_	126.09691	pdbblast
651	531861	1	na	20.175996	msa
652	531861	2	na	1.105938	msa
653	532499	2	1gc0A_	712.228787	pdbblast
654	532499	1	1gc0A_	712.228787	pdbblast
655	528698	1	na	0	artificial
656	532994	1	1dp5B_	165.69897	pdbblast
657	530174	1	2ak3A_	504.512579	pdbblast
658	530733	1	1fxtA_	191.373389	pdbblast
659	529688	1	na	0	artificial
660	529688	2	na	1.010954	msa
661	533169	1	na	0	artificial
662	533518	1	na	1.012974	msa
663	533518	2	na	0	artificial
664	533518	3	na	5.016935	msa
665	530684	3	1qpbA_	10166	pdbblast
666	530684	2	1qpbA_	10166	pdbblast
667	530684	1	1qpbA_	10166	pdbblast
668	533904	1	na	0	artificial
669	533904	2	na	1.002997	msa
670	533904	3	na	0	artificial
671	530823	1	na	0	artificial
672	528802	2	1gzdA_	11000	pdbblast
673	528802	1	1gzdA_	11000	pdbblast
674	534137	3	1dnpA_	809.0103	pdbblast
675	534137	2	1dnpA_	809.0103	pdbblast
676	534137	4	1dnpA_	809.0103	pdbblast
677	534137	1	na	0	artificial
678	528690	2	1plq__	1391.09691	pdbblast
679	528690	1	1plq__	1391.09691	pdbblast
680	529223	1	1it6A_	920	pdbblast
681	529276	1	na	0	artificial
682	529278	1	1it6A_	912	pdbblast
683	532207	3	na	5.104986	msa
684	532207	2	na	0	artificial
685	532207	4	na	0	artificial
686	532207	1	1pyiA_	533.751666	pdbblast
687	534532	2	1g0uK_	1302.69897	pdbblast
688	534532	1	na	0	artificial
689	530322	1	1g0uM_	1563	pdbblast
690	533867	1	1yprA_	700.522879	pdbblast
691	533506	3	na	1.52099	msa
692	533506	2	1fuuA_	68.09691	pdbblast
693	533506	4	na	3.169976	msa
694	533506	1	na	2.520994	msa
695	530005	6	na	12.325996	msa
696	530005	3	na	4.179995	msa
697	530005	2	1sro__	98.144602	pdbblast
698	530005	4	1gm5A_	9.154902	pdbblast
699	530005	1	na	3.158997	msa
700	530005	5	1gm5A_	9.154902	pdbblast
701	529114	1	na	1.012986	msa
702	529114	2	na	0	artificial
703	530020	1	na	0	artificial
704	530020	2	PF01066	31.136677	pfam
705	533903	1	1fntI_	1396.30103	pdbblast
706	531805	3	na	0	artificial
707	531805	2	na	8.111977	msa
708	531805	1	1ajyA_	366.927757	pdbblast
709	532831	1	2ucz__	916.37734	pdbblast
710	532767	1	na	0	artificial
711	532767	2	PF03834	44.853872	pfam
712	529044	3	na	0	artificial
713	529044	2	1fre__	2.39794	pdbblast
714	529044	4	PF02037	9.055517	pfam
